,first_region,mean_corr,mean_cov_cond_exp,mean_exp_cond_corr,mean_exp_cond_cov,mean_info,mean_shuff_corr,mean_shuff_cov_cond_exp,mean_shuff_exp_cond_corr,mean_shuff_exp_cond_cov,mean_shuff_signal_corr,mean_signal_corr,num_pairs,second_region,std_corr,std_cov_conv_exp,std_exp_cond_corr,std_exp_cond_cov,std_info,std_shuff_corr,std_shuff_cov_cond_exp,std_shuff_exp_cond_corr,std_shuff_exp_cond_cov,std_shuff_signal_corr,std_signal_corr,mouse_name
44,SomMoCtx,0.04364599079629462,0.0009482936693843498,0.043235378298233935,0.011785133481888551,0.004247072273915229,1.7124596062495332e-05,-2.4044391773272636e-08,-8.988574475221636e-05,-5.7695927394724236e-05,0.00018753465580226836,0.04743016996469463,1485.0,SomMoCtx,0.06022091619237935,0.006825110627532187,0.05701873080096283,0.03317543028906748,0.009689318994193796,0.006140811417066286,5.2271244991512735e-05,0.006437964688168386,0.0016557703247520594,0.0058384917222179655,0.6081040734419352,Krebs
45,LS,0.004433500247727865,8.23073228485412e-05,0.004150500830758056,0.000882516218280096,0.0004178534648973774,5.3345675832714075e-06,1.3973708641427326e-06,-1.0284561615453351e-05,1.2387267833551883e-05,4.785985900349346e-05,0.08345166603320789,3584.0,FrMoCtx,0.019249232125143335,0.0035550571864833495,0.01552237411463706,0.00776452651858681,0.0009214260532156384,0.004374938582601688,3.536985930769692e-05,0.004549384333513532,0.001232026058249988,0.004184876383283789,0.5832126612431019,Waksman
46,LS,0.010638274598196482,3.6145259455263095e-05,0.009364908984058918,0.0016250026376807506,0.001586416110354945,-0.00039535606990334556,-6.187427151571791e-07,-0.00022399273870823115,-8.808946197443607e-05,-7.006542886433791e-05,0.14637816244151036,728.0,CP,0.04267701862371926,0.005938593338757807,0.0312515202131955,0.009076361995222949,0.003692998917625841,0.0045411782064015945,3.0253738156326146e-05,0.004663933815494692,0.0009601567269477973,0.003992049240190299,0.7131630043455564,Waksman
47,LS,-0.0040356080044482295,-0.0001628202790282501,-0.002105364027227241,-0.0005042066529541155,0.0011808923186487088,5.666532964307672e-05,-2.811375445048622e-06,-8.055403647827589e-05,-1.8145753886182573e-05,-7.689229497979774e-05,-0.17077330655695946,3416.0,MB,0.027247262395217586,0.011607023722740719,0.014567590115375858,0.01028320618876742,0.0018129093434219251,0.004588390464292188,6.651523053380322e-05,0.004635709558796585,0.002215836413183322,0.00423944075418569,0.6936092808048959,Waksman
48,LS,0.0023705361903202803,5.7204480606050694e-05,0.003020781748910747,0.0020893679354089113,0.0012807311194626143,9.035931566189782e-05,2.5086123736509697e-06,1.427373655384906e-05,1.7364512561655573e-05,-5.35840980742553e-05,-0.005900101454405567,3136.0,SC,0.03608284490548632,0.013604489318690427,0.02641858591744213,0.019411805591199205,0.0035741389092635153,0.004505204034767402,8.057171758917833e-05,0.004581692508389671,0.0016464634509367924,0.0039853856668470265,0.6514150541981854,Waksman
49,LS,0.0050978278305449315,7.313321761106614e-05,0.004521351416080471,0.001303161071020735,0.0005591880942275512,-6.174782862364582e-05,-2.61668672522925e-07,-6.6917614357832725e-06,-4.307150190863298e-06,7.5739735982744835e-06,0.11705792244807764,3472.0,V1,0.021219333099697472,0.005602184788912106,0.016811441688678187,0.007922324258505184,0.0012039304033021237,0.004549973108993846,3.183267215450357e-05,0.004575538053936131,0.0013613542677968224,0.003837987932812219,0.6445931283995523,Waksman
50,LS,0.004240243992916535,0.00021539941795223994,0.004390737698641543,0.0012384245354053493,0.0015414164702420143,8.796344585849513e-05,-5.115420202198297e-07,1.9122461633567092e-06,-1.1289533700763875e-05,-8.988557561322956e-07,-0.014086106921592817,3416.0,TH,0.03818877625851625,0.010195909735129923,0.02543823660508086,0.009474491004731472,0.003371526128835984,0.004473265152837167,6.719074638387524e-05,0.0046245663940460285,0.0017042969955558822,0.0042148980758522515,0.5883808695427577,Waksman
51,LS,0.006285230106359575,0.00017835578430982438,0.006312337604084783,0.0024684645881017375,0.00139715107005587,-6.22202561890659e-06,-2.3108537292074913e-06,8.542413017740382e-05,2.9169998673642364e-05,-0.00021091842898119563,0.001016527874381082,3360.0,HPF,0.03779445043241599,0.00862869705262301,0.027816598457138218,0.01385421380693999,0.003015721245733228,0.004564116543785701,6.909156112966066e-05,0.004581991354661356,0.0016689968055085553,0.004211810744594848,0.6535181555791673,Waksman
52,LS,0.0032675792189978442,0.0002495402255198807,0.003347205188329849,0.0011414240930135294,0.0006479546791460933,2.578262360616623e-06,8.305474643024363e-08,0.00012069809528241797,2.8961463417486804e-05,5.2755243801684996e-05,0.020365824060997267,3472.0,SomMoCtx,0.022309910450835958,0.007118774598677697,0.014841326563720381,0.007465253075172664,0.0015027907399689049,0.004531893545727181,6.722002731248086e-05,0.004581277858356786,0.001366642004068269,0.004325283770439516,0.5606542924051843,Waksman
53,FrMoCtx,0.004100904067187903,-4.901609553826115e-07,0.003596962980978911,0.0004883470635811124,0.00036203636881513874,-4.3417531891105495e-05,-1.5297763492567438e-07,0.00017009766846717478,8.438713705722624e-05,0.00022586261206933243,0.1770234924906346,832.0,CP,0.016782372208886707,0.003246055039575377,0.0129999191381937,0.005101138853071678,0.0006187004844411517,0.004470561614900835,2.9819866386599087e-05,0.004567221786734412,0.0011189913680602834,0.004057620001292969,0.5946108464354551,Waksman
