,first_region,mean_corr,mean_info,mean_shuff_corr,num_pairs,second_region,std_corr,std_info,std_shuff_corr,mouse_name
68,MB,0.12803765704669007,0.4673036990281393,0.00032550170790471153,3534.0,TH,0.1868089924197406,0.3810926205782088,0.028350545421314384,Waksman
69,MB,0.11295504858191757,0.6133949974055678,0.00022496468017540997,3472.0,HPF,0.2197538532590119,0.49283613764564693,0.02792555234872474,Waksman
70,MB,0.011317959103702677,0.3308808824722013,-0.000412967443304127,3906.0,SomMoCtx,0.13187076013828652,0.34798303807561226,0.028696451070280276,Waksman
71,SC,0.018152523435902075,0.29754925716302655,0.0005417225370470061,3630.0,V1,0.1252210478556549,0.3559697219685424,0.02802777375470365,Waksman
72,SC,0.02831751902868701,0.35936399110250306,3.8032057224535336e-05,3135.0,TH,0.15869245863058482,0.38570672838406866,0.0282956731715793,Waksman
73,SC,0.03012494501719239,0.46994073335627,0.00027385379626325976,3080.0,HPF,0.1782162888054961,0.5007329752091859,0.02846379258539479,Waksman
74,SC,0.005316353442223468,0.2623694970275209,0.0005963814445072103,3465.0,SomMoCtx,0.10625826023600206,0.3418091610240902,0.028190277496100126,Waksman
75,V1,0.01824028356658065,0.32964465914555185,0.0003292657838270874,3762.0,TH,0.14126115962335206,0.34347532667353736,0.02813538025572159,Waksman
76,V1,0.02952004953980584,0.43601342447932534,-0.0007743665906809453,3696.0,HPF,0.16237634372761664,0.44741126087546923,0.028602047360476047,Waksman
77,V1,0.027548563801313184,0.2434890898420041,0.00028908789667275026,4158.0,SomMoCtx,0.09728283749818516,0.3074656776045818,0.0288555150607936,Waksman
78,TH,0.06928210597886127,0.5202219635259215,1.2685711748983311e-05,3192.0,HPF,0.19284489459804838,0.47440271999299427,0.02852922665351196,Waksman
79,TH,0.022066384486689898,0.2942227373459795,0.00021988906975064848,3591.0,SomMoCtx,0.12861677814156303,0.3328631084419443,0.028896970710313007,Waksman
80,HPF,0.021024180791486716,0.3779192111119789,0.0008704859346998524,3528.0,SomMoCtx,0.12691211054191978,0.4300441437412045,0.028458864870456034,Waksman
81,LS,0.0907254954859684,0.2342054784238395,0.000932950623791936,1653.0,LS,0.24868235660510574,0.15737474057631348,0.02991046833005129,Waksman
82,FrMoCtx,0.027238788149433625,0.14164877178923488,0.0004263510422850879,2080.0,FrMoCtx,0.10043555413605293,0.16870321313320888,0.02901108272470799,Waksman
83,CP,0.11709800508456066,0.2054803679608596,0.0014319152312279044,78.0,CP,0.2851672469887798,0.1763805222677026,0.030806044285245946,Waksman
84,MB,0.2737347776568275,0.5842574927302874,0.00017200272898827308,1891.0,MB,0.17848277695124598,0.3766817121025019,0.0290545678521565,Waksman
85,SC,0.022403239628119305,0.32455954707872464,-0.00020936867147327206,1485.0,SC,0.14789238281828643,0.39548164478978537,0.02838430963144495,Waksman
86,V1,0.053964586965498565,0.28059472304561645,2.333556494632529e-05,2145.0,V1,0.13347674936913329,0.31420397373965125,0.028900369350218714,Waksman
87,TH,0.08213718392851795,0.40382980583005645,6.149061017127009e-05,1596.0,TH,0.18948605685824563,0.3641370994399122,0.028177323041802694,Waksman
88,HPF,0.06471400548837887,0.6769601938628502,-0.0003966365203550809,1540.0,HPF,0.22451661797127595,0.611785113766762,0.02825057187606765,Waksman
89,SomMoCtx,0.04839324714606818,0.2213766581590516,0.0005545086475148935,1953.0,SomMoCtx,0.11650982628962418,0.29261885863111586,0.028473497220205077,Waksman
90,LS,0.053220472733096776,0.2570831872488821,-0.00018097765786612139,3135.0,FrMoCtx,0.156215510743588,0.22580925554438477,0.02972403622371987,Robbins
91,LS,0.057670405222537455,0.23869870488978134,0.0006887966767893591,3080.0,CP,0.14867998864025042,0.1767243985542128,0.029991778790877045,Robbins
92,LS,0.08439777108072248,0.3730664635971512,0.0006106367954185428,3135.0,MB,0.16500436472737925,0.27114177310848225,0.0306017812410206,Robbins
93,LS,0.02717198580843848,0.5468290612476119,-0.00044235633240953607,1265.0,SC,0.16912527160192017,0.38057305873861,0.028857444949043083,Robbins
94,LS,0.03724395805533862,0.3128169122515404,-0.0008839237743229778,3135.0,V1,0.16300422406960882,0.24877959229032756,0.029654367428646432,Robbins
95,LS,0.10188437073441993,0.3817615724063235,0.00037767802733021936,3465.0,TH,0.17595092687047176,0.26228287445408843,0.029902190392701887,Robbins
96,LS,0.09394094639738149,0.511819746454109,-0.000391463226389623,3905.0,HPF,0.17128796805212376,0.408823898754214,0.02970907446309111,Robbins
97,LS,0.05405761229351914,0.3212701258044554,3.628131453002221e-05,3080.0,SomMoCtx,0.16182713329195628,0.33443526871372364,0.030575916089541647,Robbins
98,FrMoCtx,0.04156803082159175,0.25618362026942554,-0.00013831117614597927,3192.0,CP,0.15861092109142186,0.233294003087567,0.0307123149537154,Robbins
99,FrMoCtx,0.06592854588861054,0.39397676354516276,-0.00026585124277370115,3249.0,MB,0.17866160460073405,0.34125831704720627,0.029206952943758666,Robbins
100,FrMoCtx,0.021444887877155924,0.5786142834737811,-0.0004576196107647481,1311.0,SC,0.20419511225551354,0.47815212761667214,0.03023263823373144,Robbins
101,FrMoCtx,0.03094267196642457,0.3343140296102526,0.0005649063098893779,3249.0,V1,0.17393813165000524,0.31374792004819224,0.029354331262469453,Robbins
102,FrMoCtx,0.07678960317654986,0.40110273131246504,3.533101382995061e-05,3591.0,TH,0.1949845840413128,0.3361666308088743,0.029847882498690307,Robbins
103,FrMoCtx,0.06988308713468612,0.5306179374614355,1.6479595985592962e-05,4047.0,HPF,0.18853490877687903,0.4827146809052884,0.02967563675623282,Robbins
104,FrMoCtx,0.04588554896692298,0.33446170505420014,0.00042966871635018503,3192.0,SomMoCtx,0.17176111175620612,0.3836848040453078,0.03078017600101244,Robbins
105,CP,0.07746996783514032,0.3754754816128216,-0.00160899855280883,3192.0,MB,0.17397946841597156,0.28562297738606174,0.029509364216258157,Robbins
